Inview Now
--------------------------------------------------------------------
Satellite				Elevation	Azimuth		Frequency			Latitude			Longitude

UOSAT 2 (UO-11)         		13		309		145.826/435.025			60.20767535846579		-12.616482047734195
TECHSAT 1B (GO-32)      		3		46		435.225 			61.09524439082866		48.182494806252315
BEESAT-2                		8		19		435.950 			64.96360331323582		21.957854402848312
PERSEUS-M2              		15		28		400.190/400.221*		61.81869892056359		22.221944626761132
ALSAT 1N                		32		127		437.646 			46.54881292464983		15.056542147914197
AALTO-1                 		4		173		437.220/2402.000		34.05857482907736		7.230477700666267
SKCUBE                  		0		173		437.100/2401.000 		30.392263719744413		7.521138535584287
XIAOXIANG-2             		4		31		435.350*/2403.000/5833.000		64.47982188604759		33.60147293360205
ZHOU ENLAI              		4		128		436.950 			37.981810976845466		23.46799917985232
ES'HAIL 2               		27		146		10489.550-10489.800		-0.0029073692623082614		29.78028995117981
2018-099A               		12		116		145.900 			43.368222693166885		23.089237043762108
JY1SAT (JO-97)          		8		37		145.875-145.855			61.83396789054353		30.37084952225672
SUOMI-100               		9		40		437.775/2410.000		60.82069052255994		29.754469400314186
AL-FARABI 2             		12		48		436.500 			58.372206747778456		28.421534677956245
EUCROPIS                		13		111		437.250 			44.82835851722159		23.470510955945976


Not inview
--------------------------------------------------------------------
Satellite				Elevation	Azimuth		Frequency

LUSAT (LO-19)           		-26		107		437.125/437.150			-23.769892733257702		35.568884726017096
ITAMSAT                 		-12		290		435.822/435.867			-23.769892733257702		35.568884726017096
RADIO ROSTO (RS-15)     		-53		170						-23.769892733257702		35.568884726017096
JAS-2 (FO-29)           		-9		341		435.900-435.800			-23.769892733257702		35.568884726017096
NOAA 15                 		-40		216		137.620/1702.500		-23.769892733257702		35.568884726017096
ISS (ZARYA)             		-19		239		145.825 			-23.769892733257702		35.568884726017096
PCSAT (NO-44)           		-24		339		145.827 			-23.769892733257702		35.568884726017096
SAUDISAT 1C (SO-50)     		-27		272		436.795 			-23.769892733257702		35.568884726017096
CUTE-1 (CO-55)          		-47		50		437.470 			-23.769892733257702		35.568884726017096
CUBESAT XI-IV (CO-57)   		-75		171		437.490 			-23.769892733257702		35.568884726017096
MOZHAYETS 4 (RS-22)     		-59		143						-23.769892733257702		35.568884726017096
NOAA 18                 		-13		201		137.9125/1707.000		-23.769892733257702		35.568884726017096
SINAH 1                 		-55		254						-23.769892733257702		35.568884726017096
CUBESAT XI 5            		-32		76		437.345 			-23.769892733257702		35.568884726017096
FALCONSAT-3             		-40		178		435.103 			-23.769892733257702		35.568884726017096
CUTE-1.7+APD II (CO-65) 		-20		250		437.475 			-23.769892733257702		35.568884726017096
AAUSAT-II               		-52		40		437.426 			-23.769892733257702		35.568884726017096
DELFI-C3 (DO-64)        		-41		187		145.870 			-23.769892733257702		35.568884726017096
SEEDS II (CO-66)        		-3		351		437.485 			-23.769892733257702		35.568884726017096
YUBILEINY (RS-30)       		-87		93						-23.769892733257702		35.568884726017096
